시간, BTC 시간대별 등락률
0:00:00,-0.95
0:05:00,0.37
0:10:00,-0.22
0:15:00,1.92
0:20:00,2.42
0:25:00,1.01
0:30:00,4.35
0:35:00,3.59
0:40:00,2.88
0:45:00,5.02
0:50:00,8.78
0:55:00,5.99
1:00:00,8.37
1:05:00,4.86
1:10:00,2.73
1:15:00,4.77
1:20:00,-0.15
1:25:00,-0.23
1:30:00,2.05
1:35:00,2.13
1:40:00,3.83
1:45:00,3.91
1:50:00,4.24
1:55:00,1.3
2:00:00,-0.96
2:05:00,-1.26
2:10:00,0.29
2:15:00,0.3
2:20:00,-2.1
2:25:00,-0.99
2:30:00,-0.4
2:35:00,-2.44
2:40:00,-3.55
2:45:00,-6.62
2:50:00,-6.34
2:55:00,-5.28
3:00:00,-6.91
3:05:00,-6.81
3:10:00,-8.44
3:15:00,-9.01
3:20:00,-6.81
3:25:00,-5.09
3:30:00,-1.67
3:35:00,0.49
3:40:00,-1.02
3:45:00,-2.26
3:50:00,-0.54
3:55:00,-0.9
4:00:00,2.9
4:05:00,2.08
4:10:00,4.82
4:15:00,3.37
4:20:00,3.51
4:25:00,1.47
4:30:00,0.48
4:35:00,1.51
4:40:00,1.82
4:45:00,2.49
4:50:00,0.29
4:55:00,-2.09
5:00:00,-2.36
5:05:00,-0.92
5:10:00,-0.93
5:15:00,-2.31
5:20:00,-1.61
5:25:00,-0.48
5:30:00,-1.44
5:35:00,0.61
5:40:00,1.95
5:45:00,3.11
5:50:00,4.14
5:55:00,3.71
6:00:00,3.43
6:05:00,1.04
6:10:00,-0.47
6:15:00,-1.79
6:20:00,-0.92
6:25:00,-0.91
6:30:00,-3.13
6:35:00,-4.19
6:40:00,-4.2
6:45:00,-2.31
6:50:00,-4.25
6:55:00,-4.76
7:00:00,-7.65
7:05:00,-7.49
7:10:00,-6.42
7:15:00,-6.31
7:20:00,-6.08
7:25:00,-5.77
7:30:00,-4.58
7:35:00,-5.55
7:40:00,-4.24
7:45:00,-4.12
7:50:00,-1.41
7:55:00,-1.53
8:00:00,-3.36
8:05:00,-3.25
8:10:00,-5.15
8:15:00,-6.73
8:20:00,-5.51
8:25:00,-5.7
8:30:00,-5.4
8:35:00,-5.47
8:40:00,-5.39
8:45:00,-7.32
8:50:00,-7.96
8:55:00,-10.47
9:00:00,-8.62
9:05:00,-4.74
9:10:00,-4.68
9:15:00,-6.47
9:20:00,-6.56
9:25:00,-4.42
9:30:00,-2.39
9:35:00,-4.23
9:40:00,-3.99
9:45:00,-4.17
9:50:00,-4.56
9:55:00,-4.42
10:00:00,-4
10:05:00,-2.79
10:10:00,-2.76
10:15:00,-1.59
10:20:00,-3.1
10:25:00,-1.96
10:30:00,0.82
10:35:00,1.07
10:40:00,2.13
10:45:00,3.96
10:50:00,2.92
10:55:00,3.54
11:00:00,5.18
11:05:00,4.58
11:10:00,0.91
11:15:00,-1.1
11:20:00,-2.14
11:25:00,-1.11
11:30:00,-0.47
11:35:00,-0.16
11:40:00,0.98
11:45:00,1.84
11:50:00,3.42
11:55:00,5.88
12:00:00,4.96
12:05:00,4.35
12:10:00,4.79
12:15:00,6.16
12:20:00,6.15
12:25:00,8.25
12:30:00,8.26
12:35:00,7.37
12:40:00,5.68
12:45:00,6.3
12:50:00,5.99
12:55:00,6.8
13:00:00,9.17
13:05:00,8.29
13:10:00,8.17
13:15:00,9.07
13:20:00,9.92
13:25:00,8.55
13:30:00,9.11
13:35:00,8.5
13:40:00,9.76
13:45:00,9.58
13:50:00,9.88
13:55:00,9.55
14:00:00,9.38
14:05:00,8.38
14:10:00,7.21
14:15:00,7.86
14:20:00,7.69
14:25:00,8.15
14:30:00,10.09
14:35:00,10.12
14:40:00,10.59
14:45:00,9.94
14:50:00,10.4
14:55:00,9
15:00:00,11.47
15:05:00,12.05
15:10:00,10.5
15:15:00,10.33
15:20:00,10.33
15:25:00,9.39
15:30:00,9.65
15:35:00,8.42
15:40:00,8.34
15:45:00,8
15:50:00,8.48
15:55:00,6.99
16:00:00,8.72
16:05:00,6.68
16:10:00,7.19
16:15:00,6.97
16:20:00,8.49
16:25:00,6.29
16:30:00,4.98
16:35:00,4.2
16:40:00,5.25
16:45:00,5.84
16:50:00,4.64
16:55:00,4.17
17:00:00,4.68
17:05:00,3
17:10:00,3.06
17:15:00,3.21
17:20:00,2.36
17:25:00,1.67
17:30:00,2.81
17:35:00,4.82
17:40:00,5.89
17:45:00,5.89
17:50:00,5.52
17:55:00,6
18:00:00,8.23
18:05:00,5.89
18:10:00,5.41
18:15:00,5.48
18:20:00,3.92
18:25:00,4.75
18:30:00,5.68
18:35:00,6.29
18:40:00,7.14
18:45:00,7.32
18:50:00,8.41
18:55:00,8.58
19:00:00,7.14
19:05:00,5.97
19:10:00,6.56
19:15:00,6.41
19:20:00,11.33
19:25:00,11.75
19:30:00,11.66
19:35:00,12.53
19:40:00,12.87
19:45:00,12.21
19:50:00,10.22
19:55:00,10.56
20:00:00,10.66
20:05:00,8.98
20:10:00,8.32
20:15:00,11.3
20:20:00,10.82
20:25:00,10.25
20:30:00,7.97
20:35:00,7.43
20:40:00,10.29
20:45:00,11.28
20:50:00,11.72
20:55:00,11.09
21:00:00,11.73
21:05:00,11.07
21:10:00,10.13
21:15:00,9.65
21:20:00,7.8
21:25:00,9.8
21:30:00,4.96
21:35:00,8.86
21:40:00,7.97
21:45:00,8.74
21:50:00,7.65
21:55:00,10.58
22:00:00,9.97
22:05:00,10.61
22:10:00,11.08
22:15:00,11.72
22:20:00,8.69
22:25:00,7.22
22:30:00,10.15
22:35:00,9.42
22:40:00,9.77
22:45:00,8.59
22:50:00,7.08
22:55:00,3.2
23:00:00,2.54
23:05:00,5.38
23:10:00,8.72
23:15:00,9.06
23:20:00,7.83
23:25:00,11.07
23:30:00,6.43
23:35:00,7.33
23:40:00,9.06
23:45:00,10.68
23:50:00,5.47
23:55:00,4.33
