aoa trading log,,,,,
date,Entry / Exit,yield,position,answer,win/lose
2022-07-26,21025 / 21,112,0.43%,long,-,-
2022-07-25,21921 / 21025,-4.08%,long,short,lose
2022-07-24,22501 / 21921,-2.58%,long,short,lose
2022-07-22,23637 / 22501,-4.80%,long,short,lose
2022-07-21,22699 / 23637,-3.97%,short,long,lose
2022-07-20,23792 / 22699,4.80%,short,short,win
2022-07-19,22171 / 23792,7.31%,long,long,win
2022-07-18,22223 / 22171,-0.26%,long,short,lose
2022-07-17,21175 / 22223,-4.73%,short,long,lose
2022-07-16,20630 / 21175,-2.57%,short,long,lose
2022-07-15,21024 / 20630,-1.88%,long,short,lose
2022-07-14,19786 / 21024,-5.89%,short,long,lose
2022-07-13,19423 / 19786,-1.82%,short,long,lose
2022-07-12,19883 / 19423,2.47%,short,short,win
2022-07-11,20554 / 19883,3.36%,short,short,win
2022-07-10,21252 / 20554,3.39%,short,short,win
2022-07-09,21600 / 21252,1.64%,short,short,win
2022-07-08,21404 / 21600,0.92%,long,long,win
2022-07-07,20394 / 21404,4.96%,long,long,win
2022-07-06,20199 / 20394,0.97%,long,long,win
2022-07-05,19383 / 20199,4.21%,long,long,win
2022-07-04,19744 / 19383,-1.83%,long,short,lose
2022-07-03,19030 / 19744,-3.62%,short,long,lose
2022-07-02,19250 / 19030,1.15%,short,short,win
2022-07-01,19321 / 19250,0.38%,short,short,win
2022-06-30,19139 / 19321,0.95%,long,long,win
2022-06-29,19997 / 19139,4.49%,short,short,win
2022-06-28,21026 / 19997,-4.87%,long,short,lose
2022-06-27,20775 / 21026,1.23%,long,long,win
2022-06-26,21364 / 20775,-2.60%,long,short,lose
2022-06-25,21196 / 21364,0.88%,long,long,win
2022-06-24,21246 / 21196,-0.23%,long,short,lose
2022-06-23,20549 / 21246,3.40%,long,long,win
2022-06-22,20653 / 20549,0.51%,short,short,win
2022-06-21,21119 / 20653,-2.21%,long,short,lose
2022-06-20,20468 / 21119,3.18%,long,long,win
2022-06-19,19467 / 20468,-4.89%,short,long,lose
2022-06-18,19146 / 19467,-1.65%,short,long,lose
2022-06-17,20650 / 19146,7.85%,short,short,win
2022-06-16,21213 / 20650,-2.65%,long,short,lose
2022-06-15,21399 / 21213,-0.86%,long,short,lose
2022-06-14,22168 / 21399,3.65%,short,short,win
2022-06-13,23408 / 22168,-5.30%,long,short,lose
2022-06-12,27013 / 23408,-13.33%,long,short,lose
2022-06-11,28411 / 27013,-4.91%,long,short,lose
2022-06-10,30149 / 28411,6.13%,short,short,win
2022-06-09,30095 / 30149,0.18%,long,long,win
2022-06-08,30283 / 30095,0.62%,short,short,win
2022-06-07,29552 / 30283,-2.09%,short,long,lose
2022-06-06,31391 / 29552,-5.86%,long,short,lose
2022-06-05,29759 / 31391,5.49%,long,long,win
2022-06-03,29699 / 29759,-0.20%,short,long,lose
2022-06-02,29690 / 29699,0.03%,long,long,win
2022-06-01,31776 / 29690,-6.56%,long,short,lose
2022-05-31,31321 / 31776,-1.45%,short,long,lose
2022-05-30,30522 / 31321,-2.58%,short,long,lose
2022-05-29,29389 / 30522,-3.71%,short,long,lose
2022-05-28,29060 / 29389,1.13%,long,long,win
2022-05-27,29272 / 29060,0.73%,short,short,win
2022-05-26,28771 / 29272,1.74%,long,long,win
2022-05-25,29565 / 28771,2.73%,short,short,win
2022-05-24,28923 / 29565,-2.21%,short,long,lose
2022-05-23,30402 / 28923,-4.86%,long,short,lose
2022-05-22,30212 / 30402,0.63%,long,long,win
2022-05-21,29359 / 30212,2.91%,long,long,win
2022-05-20,30113 / 29359,2.57%,short,short,win
2022-05-19,29519 / 30113,2.01%,long,long,win
2022-05-18,29430 / 29519,0.30%,long,long,win
2022-05-17,30429 / 29430,3.39%,short,short,win
2022-05-16,29886 / 30429,-1.77%,short,long,lose
