심볼, 시가, 종가, 실적, 표준편차율
1INCH, 839.0, 1090.0, 29.92%, 9.34
AAVE, 92410.0, 130300.0, 41.00%, 9.86
ADA, 621.0, 678.0, 9.18%, 6.41
AERGO, 171.0, 182.0, 6.43%, 5.51
AHT, 7.59, 8.86, 16.73%, 6.21
ALGO, 420.0, 449.0, 6.90%, 4.98
ANKR, 38.4, 43.2, 12.50%, 6.22
AQT, 1750.0, 1905.0, 8.86%, 4.87
ARDR, 138.0, 150.0, 8.70%, 4.91
ARK, 568.0, 650.0, 14.44%, 6.25
ATOM, 12170.0, 14070.0, 15.61%, 9.37
AVAX, 26280.0, 31800.0, 21.00%, 10.63
AXS, 19960.0, 23550.0, 17.99%, 10.72
BAT, 589.0, 544.0, -7.64%, 4.19
BCH, 144600.0, 183700.0, 27.04%, 12.92
BORA, 398.0, 492.0, 23.62%, 7.13
BSV, 72540.0, 81900.0, 12.90%, 7.11
BTC, 28129000.0, 30845000.0, 9.66%, 5.72
BTG, 21620.0, 39270.0, 81.64%, 28.24
BTT, 0.0013, 0.0013, 0.00%, 6.23
CBK, 1260.0, 1480.0, 17.46%, 6.09
CELO, 1245.0, 1380.0, 10.84%, 7.22
CHZ, 135.0, 190.0, 40.74%, 12.03
CRE, 5.68, 6.33, 11.44%, 4.92
CRO, 160.0, 194.0, 21.25%, 8.10
CVC, 191.0, 213.0, 11.52%, 6.15
DAWN, 1115.0, 1250.0, 12.11%, 5.33
DKA, 60.9, 66.8, 9.69%, 4.36
DOGE, 91.7, 89.8, -2.07%, 4.26
DOT, 9480.0, 10980.0, 15.82%, 8.37
ELF, 234.0, 229.0, -2.14%, 5.81
ENJ, 721.0, 878.0, 21.78%, 9.78
EOS, 1340.0, 1605.0, 19.78%, 11.40
ETC, 20660.0, 48700.0, 135.72%, 35.68
ETH, 1607000.0, 2202000.0, 37.03%, 14.65
FCT2, 79.4, 85.9, 8.19%, 5.30
FLOW, 2155.0, 2550.0, 18.33%, 9.24
GAS, 3680.0, 3910.0, 6.25%, 4.67
GLM, 325.0, 350.0, 7.69%, 4.53
GMT, 1320.0, 1240.0, -6.06%, 5.83
GRS, 465.0, 480.0, 3.23%, 4.49
HBAR, 84.3, 96.6, 14.59%, 6.37
HIVE, 607.0, 785.0, 29.32%, 15.08
HUM, 224.0, 249.0, 11.16%, 4.56
HUNT, 578.0, 618.0, 6.92%, 5.44
ICX, 385.0, 436.0, 13.25%, 6.68
IOST, 18.2, 19.8, 8.79%, 5.07
IOTA, 373.0, 434.0, 16.35%, 7.35
IQ, 5.91, 7.74, 30.96%, 8.93
JST, 39.6, 44.0, 11.11%, 6.55
KAVA, 2440.0, 2805.0, 14.96%, 6.89
KNC, 1840.0, 2005.0, 8.97%, 7.20
LINK, 8625.0, 10030.0, 16.29%, 8.15
LOOM, 58.3, 65.2, 11.84%, 5.89
LSK, 1405.0, 1555.0, 10.68%, 5.35
MANA, 1215.0, 1355.0, 11.52%, 7.29
MATIC, 732.0, 1205.0, 64.62%, 16.68
MBL, 4.0, 6.18, 54.50%, 8.89
MED, 27.6, 30.8, 11.59%, 5.19
META, 46.5, 52.0, 11.83%, 5.72
MFT, 4.97, 6.17, 24.14%, 6.63
MLK, 522.0, 567.0, 8.62%, 5.63
MOC, 120.0, 140.0, 16.67%, 5.97
MTL, 1735.0, 1855.0, 6.92%, 6.42
MVL, 6.11, 6.77, 10.80%, 6.67
NEAR, 4815.0, 6205.0, 28.87%, 10.98
NEO, 12050.0, 14760.0, 22.49%, 9.78
NU, 229.0, 257.0, 12.23%, 5.48
OMG, 2495.0, 2975.0, 19.24%, 9.77
ONG, 499.0, 564.0, 13.03%, 6.72
ONT, 324.0, 371.0, 14.51%, 7.73
ORBS, 55.3, 58.3, 5.42%, 4.06
PLA, 495.0, 563.0, 13.74%, 6.46
POLY, 261.0, 296.0, 13.41%, 5.44
POWR, 300.0, 333.0, 11.00%, 4.32
PUNDIX, 534.0, 890.0, 66.67%, 30.39
QKC, 13.9, 15.2, 9.35%, 5.60
QTUM, 3890.0, 5330.0, 37.02%, 17.77
REP, 10940.0, 11460.0, 4.75%, 3.85
RFR, 7.84, 8.8, 12.24%, 4.75
SAND, 1670.0, 1740.0, 4.19%, 6.54
SBD, 3945.0, 4155.0, 5.32%, 3.92
SC, 5.24, 6.15, 17.37%, 6.88
SNT, 40.2, 42.9, 6.72%, 4.80
SOL, 50000.0, 52630.0, 5.26%, 7.56
SRM, 1010.0, 1275.0, 26.24%, 5.78
SSX, 30.2, 33.7, 11.59%, 5.57
STEEM, 288.0, 335.0, 16.32%, 4.94
STMX, 9.76, 11.7, 19.88%, 7.99
STORJ, 1055.0, 898.0, -14.88%, 4.70
STPT, 63.4, 63.4, 0.00%, 3.82
STRAX, 961.0, 946.0, -1.56%, 3.45
STRK, 24380.0, 26670.0, 9.39%, 4.80
STX, 535.0, 622.0, 16.26%, 6.91
SXP, 527.0, 602.0, 14.23%, 7.28
T, 47.5, 51.8, 9.05%, 4.41
TFUEL, 68.3, 81.5, 19.33%, 9.26
THETA, 1660.0, 1920.0, 15.66%, 7.93
TON, 2410.0, 2720.0, 12.86%, 5.74
TRX, 89.4, 91.2, 2.01%, 2.13
TT, 7.09, 7.5, 5.78%, 4.45
UPP, 92.0, 100.0, 8.70%, 4.71
VET, 31.3, 39.6, 26.52%, 8.73
WAVES, 7285.0, 7650.0, 5.01%, 7.14
WAXP, 129.0, 153.0, 18.60%, 7.04
WEMIX, 3470.0, 4005.0, 15.42%, 5.29
XEC, 0.0559, 0.0574, 2.68%, 5.19
XEM, 54.2, 67.5, 24.54%, 10.01
XLM, 148.0, 154.0, 4.05%, 4.59
XRP, 446.0, 499.0, 11.88%, 5.83
XTZ, 2040.0, 2385.0, 16.91%, 5.86
ZIL, 53.5, 56.7, 5.98%, 5.30
ZRX, 408.0, 463.0, 13.48%, 8.31
