symbol, 상승일, 총 상승 회수, 하락 회수, 하락 확률%
1INCH, 1, 136, 68.0, 50.00%
1INCH, 2, 67, 34.0, 50.75%
1INCH, 3, 33, 20.0, 60.61%
1INCH, 4, 13, 7.0, 53.85%
1INCH, 5, 6, 4.0, 66.67%
1INCH, 6, 2, 2.0, 100.00%
AAVE, 1, 128, 72.0, 56.25%
AAVE, 2, 55, 29.0, 52.73%
AAVE, 3, 26, 13.0, 50.00%
AAVE, 4, 13, 8.0, 61.54%
AAVE, 5, 5, 3.0, 60.00%
AAVE, 6, 2, 1.0, 50.00%
AAVE, 7, 1, 1.0, 100.00%
ADA, 1, 822, 432.0, 52.55%
ADA, 2, 389, 204.0, 52.44%
ADA, 3, 185, 101.0, 54.59%
ADA, 4, 84, 47.0, 55.95%
ADA, 5, 37, 23.0, 62.16%
ADA, 6, 14, 7.0, 50.00%
ADA, 7, 7, 2.0, 28.57%
ADA, 8, 5, 2.0, 40.00%
ADA, 9, 3, 2.0, 66.67%
ADA, 10, 1, 1.0, 100.00%
AERGO, 1, 574, 278.0, 48.43%
AERGO, 2, 296, 141.0, 47.64%
AERGO, 3, 155, 80.0, 51.61%
AERGO, 4, 75, 41.0, 54.67%
AERGO, 5, 34, 17.0, 50.00%
AERGO, 6, 17, 7.0, 41.18%
AERGO, 7, 10, 5.0, 50.00%
AERGO, 8, 5, 3.0, 60.00%
AERGO, 9, 2, 1.0, 50.00%
AERGO, 10, 1, 1.0, 100.00%
AHT, 1, 369, 164.0, 44.44%
AHT, 2, 205, 92.0, 44.88%
AHT, 3, 113, 47.0, 41.59%
AHT, 4, 66, 25.0, 37.88%
AHT, 5, 41, 14.0, 34.15%
AHT, 6, 27, 8.0, 29.63%
AHT, 7, 19, 6.0, 31.58%
AHT, 8, 13, 5.0, 38.46%
AHT, 9, 8, 4.0, 50.00%
AHT, 10, 4, 2.0, 50.00%
ALGO, 1, 129, 67.0, 51.94%
ALGO, 2, 61, 33.0, 54.10%
ALGO, 3, 28, 13.0, 46.43%
ALGO, 4, 15, 9.0, 60.00%
