½Ã°¢,µî¶ô·ü
00:00:00,-1.31
00:05:00,0.37
00:10:00,-0.17
00:15:00,2.3
00:20:00,2.79
00:25:00,0.9
00:30:00,3.64
00:35:00,2.8
00:40:00,1.84
00:45:00,2.65
00:50:00,5.31
00:55:00,3.91
01:00:00,6.29
01:05:00,3.73
01:10:00,1.73
01:15:00,2.32
01:20:00,-2.43
01:25:00,-2.6
01:30:00,-0.42
01:35:00,0.99
01:40:00,2.58
01:45:00,2.79
01:50:00,2.29
01:55:00,0.88
02:00:00,-0.31
02:05:00,-0.92
02:10:00,-0.3
02:15:00,-1.13
02:20:00,-2.7
02:25:00,-1.86
02:30:00,-0.77
02:35:00,-3.3
02:40:00,-4.59
02:45:00,-6.14
02:50:00,-5.21
02:55:00,-4.18
03:00:00,-8.09
03:05:00,-8.48
03:10:00,-10.31
03:15:00,-10.56
03:20:00,-9.0
03:25:00,-5.58
03:30:00,-3.08
03:35:00,-2.2
03:40:00,-3.69
03:45:00,-3.79
03:50:00,-1.94
03:55:00,-2.45
04:00:00,0.9
04:05:00,-1.06
04:10:00,1.74
04:15:00,0.21
04:20:00,1.09
04:25:00,-1.74
04:30:00,-1.59
04:35:00,-1.76
04:40:00,0.25
04:45:00,1.26
04:50:00,0.19
04:55:00,-2.17
05:00:00,-1.64
05:05:00,-0.47
05:10:00,-0.58
05:15:00,-1.65
05:20:00,-1.63
05:25:00,-1.16
05:30:00,-2.48
05:35:00,-0.98
05:40:00,0.43
05:45:00,1.07
05:50:00,0.79
05:55:00,-0.39
06:00:00,-0.6
06:05:00,-1.77
06:10:00,-2.51
06:15:00,-3.72
06:20:00,-3.34
06:25:00,-4.17
06:30:00,-5.1
06:35:00,-4.51
06:40:00,-4.82
06:45:00,-3.28
06:50:00,-5.17
06:55:00,-5.73
07:00:00,-6.14
07:05:00,-6.65
07:10:00,-5.4
07:15:00,-4.5
07:20:00,-4.41
07:25:00,-4.32
07:30:00,-4.01
07:35:00,-4.51
07:40:00,-2.82
07:45:00,-2.85
07:50:00,-0.2
07:55:00,-0.34
08:00:00,-1.78
08:05:00,-2.35
08:10:00,-4.12
08:15:00,-4.94
08:20:00,-3.61
08:25:00,-3.49
08:30:00,-3.25
08:35:00,-2.81
08:40:00,-2.86
08:45:00,-4.02
08:50:00,-4.11
08:55:00,-5.43
09:00:00,-3.94
09:05:00,-2.29
09:10:00,-2.13
09:15:00,-4.19
09:20:00,-3.83
09:25:00,-1.05
09:30:00,-0.52
09:35:00,-3.28
09:40:00,-4.1
09:45:00,-4.49
09:50:00,-4.46
09:55:00,-5.33
10:00:00,-4.51
10:05:00,-3.29
10:10:00,-2.66
10:15:00,-2.39
10:20:00,-3.93
10:25:00,-3.6
10:30:00,-1.47
10:35:00,-0.81
10:40:00,-0.61
10:45:00,1.6
10:50:00,1.49
10:55:00,0.72
11:00:00,0.84
11:05:00,-0.03
11:10:00,-2.83
11:15:00,-4.72
11:20:00,-5.43
11:25:00,-5.31
11:30:00,-5.22
11:35:00,-5.89
11:40:00,-4.51
11:45:00,-5.23
11:50:00,-4.51
11:55:00,-2.22
12:00:00,-1.66
12:05:00,-1.61
12:10:00,-1.54
12:15:00,-1.15
12:20:00,-0.97
12:25:00,0.74
12:30:00,0.04
12:35:00,-0.09
12:40:00,-0.77
12:45:00,-0.78
12:50:00,0.06
12:55:00,-0.15
13:00:00,2.01
13:05:00,-1.02
13:10:00,-1.52
13:15:00,-0.2
13:20:00,0.32
13:25:00,0.31
13:30:00,0.62
13:35:00,0.15
13:40:00,0.97
13:45:00,0.73
13:50:00,0.79
13:55:00,0.52
14:00:00,-0.61
14:05:00,-1.85
14:10:00,-2.26
14:15:00,-0.94
14:20:00,-1.44
14:25:00,-1.06
14:30:00,0.21
14:35:00,0.21
14:40:00,0.5
14:45:00,-0.26
14:50:00,-0.02
14:55:00,-1.14
15:00:00,-0.93
15:05:00,-0.41
15:10:00,-1.38
15:15:00,-1.69
15:20:00,-1.96
15:25:00,-2.3
15:30:00,-2.76
15:35:00,-4.28
15:40:00,-4.52
15:45:00,-4.15
15:50:00,-3.65
15:55:00,-4.96
16:00:00,-3.33
16:05:00,-4.05
16:10:00,-3.57
16:15:00,-2.3
16:20:00,-1.4
16:25:00,-2.53
16:30:00,-3.06
16:35:00,-3.53
16:40:00,-2.65
16:45:00,-2.54
16:50:00,-2.99
16:55:00,-2.97
17:00:00,-2.73
17:05:00,-3.54
17:10:00,-3.38
17:15:00,-4.88
17:20:00,-5.76
17:25:00,-6.31
17:30:00,-6.15
17:35:00,-4.61
17:40:00,-3.92
17:45:00,-3.49
17:50:00,-4.04
17:55:00,-3.5
18:00:00,-2.19
18:05:00,-4.15
18:10:00,-4.52
18:15:00,-5.61
18:20:00,-6.26
18:25:00,-5.75
18:30:00,-5.45
18:35:00,-5.13
18:40:00,-4.04
18:45:00,-4.81
18:50:00,-3.91
18:55:00,-3.68
19:00:00,-4.37
19:05:00,-4.9
19:10:00,-3.99
19:15:00,-3.12
19:20:00,0.29
19:25:00,0.79
19:30:00,0.62
19:35:00,1.33
19:40:00,2.76
19:45:00,2.0
19:50:00,0.54
19:55:00,0.78
20:00:00,-0.16
20:05:00,-1.11
20:10:00,-2.01
20:15:00,0.27
20:20:00,0.1
20:25:00,-0.13
20:30:00,-0.86
20:35:00,-0.91
20:40:00,1.02
20:45:00,2.01
20:50:00,1.36
20:55:00,1.45
21:00:00,1.61
21:05:00,1.11
21:10:00,1.17
21:15:00,1.21
21:20:00,0.36
21:25:00,2.43
21:30:00,-3.57
21:35:00,-0.84
21:40:00,-1.84
21:45:00,-1.59
21:50:00,-2.78
21:55:00,-1.82
22:00:00,-1.92
22:05:00,-2.14
22:10:00,-1.7
22:15:00,-1.9
22:20:00,-4.02
22:25:00,-6.18
22:30:00,-3.28
22:35:00,-3.51
22:40:00,-4.08
22:45:00,-4.24
22:50:00,-4.76
22:55:00,-7.3
23:00:00,-9.65
23:05:00,-7.07
23:10:00,-5.94
23:15:00,-6.53
23:20:00,-7.87
23:25:00,-6.0
23:30:00,-7.32
23:35:00,-7.53
23:40:00,-6.39
23:45:00,-6.17
23:50:00,-10.87
23:55:00,-10.84
