"업비트 4주간, 요일별 상승 하락 분석표",,,,,,,,,
"해당 요일에 상승 하였으면 1, 하락 하였으면 -1 로 계산",,,,,,,,,
종목, 월, 화, 수, 목, 금, 토, 일, 상승, 하락
BTC,-2,0,0,-2,-2,2,2,13,15
ETH,-2,0,-2,-2,-2,2,2,12,16
NEO,0,2,0,-2,-2,2,2,15,13
MTL,-2,-2,-2,-2,-2,2,2,11,17
LTC,-2,2,-2,-2,0,2,2,14,14
XRP,-2,2,-2,-2,0,2,2,14,14
ETC,0,2,-2,-2,0,2,2,15,13
OMG,-2,2,-2,-2,-2,2,2,13,15
SNT,-2,2,0,-2,-2,2,2,14,14
WAVES,-2,-2,-2,-2,0,-2,2,10,18
XEM,-2,-2,-2,-2,-2,0,2,10,18
QTUM,-2,0,-2,-2,-2,2,2,12,16
LSK,-2,0,-2,-2,-2,2,2,12,16
STEEM,0,0,-2,0,-2,4,2,15,13
XLM,-2,2,0,-2,0,2,2,15,13
ARDR,-2,4,-3,-2,-1,2,2,13,13
ARK,-2,2,-2,-2,-2,0,2,12,16
STORJ,-2,2,-2,-2,-2,2,2,13,15
GRS,-4,1,0,-2,2,2,2,14,13
REP,-4,-2,-2,-2,0,0,2,10,18
ADA,-2,2,-2,-2,-2,2,2,13,15
SBD,-2,0,0,0,-2,4,2,15,13
POWR,-2,0,0,-2,-2,1,2,12,15
BTG,0,2,-2,-2,0,0,2,14,14
ICX,-2,2,0,-2,-2,2,4,15,13
EOS,-2,2,-2,-2,0,2,2,14,14
TRX,-2,4,2,-2,0,-2,0,14,14
SC,-2,1,-2,0,-2,0,2,12,15
ONT,-2,2,0,-2,-2,2,2,14,14
ZIL,-2,0,-2,-2,2,2,4,15,13
POLY,0,1,2,-2,-2,1,2,14,12
ZRX,-2,0,-2,-2,0,0,2,12,16
LOOM,-2,4,-1,-2,-2,0,2,13,14
BCH,-2,2,-2,-2,-2,2,2,13,15
BAT,-2,2,-2,-2,-2,2,2,13,15
IOST,-2,2,-1,-1,0,2,2,14,12
