Á¾¸ñ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
BTC ,6,2,6,0,6,6,0,2,2,-4,4,-6,2,0,-6,-6,0,2,-2,-2,-8,-2,2,0,4,2,0,2,1,1,-1
ETH ,4,6,6,-4,4,10,0,4,6,-5,8,-4,0,6,-2,-6,-2,4,0,2,-8,-4,5,0,2,4,4,2,5,5,1
NEO ,4,10,6,0,4,4,2,2,8,-2,2,-2,6,3,0,-4,-2,2,-4,-2,-6,-4,2,-2,-2,-2,2,2,1,1,1
MTL ,-2,2,4,0,0,1,2,2,0,-4,4,0,-2,4,0,-4,-2,-4,0,-2,0,0,0,0,4,0,4,-2,0,5,5
LTC ,6,6,6,-4,2,8,0,4,8,-6,2,-4,6,6,-2,-6,-8,-2,2,-2,-8,-2,1,0,0,2,2,4,3,5,1
XRP ,0,-2,6,2,-2,8,-6,3,2,-6,3,-3,4,2,-3,-10,-3,2,0,6,-8,-2,2,-2,-5,0,0,-1,5,4,5
ETC ,2,6,6,-4,2,10,-2,0,4,-6,4,-6,6,6,-2,-6,-4,2,0,-2,-6,-4,2,0,0,-4,2,6,-1,1,4
OMG ,2,2,6,0,0,6,-2,0,6,-8,6,-4,2,-2,-1,0,-2,3,-2,-4,-4,-2,4,0,-4,0,8,0,6,-1,5
SNT ,4,4,7,2,4,6,2,0,4,-6,-1,-5,8,0,-4,-1,-2,-3,-2,-2,-4,1,0,3,-4,5,1,0,6,2,1
WAVES ,2,4,7,-2,4,0,0,2,8,-4,6,2,6,0,-2,4,-4,4,-4,0,-6,2,0,3,-2,2,2,4,4,4,-1
XEM ,2,4,6,-4,4,8,0,-2,4,-6,3,-5,1,2,4,0,0,-1,-2,-4,-1,0,1,-4,-1,3,2,-2,4,3,5
QTUM ,4,4,4,0,4,8,-4,-2,8,-6,-3,-8,4,4,-4,-2,-5,5,-4,-2,-4,-4,4,0,2,2,4,0,7,1,7
LSK ,4,8,4,0,2,6,-1,2,6,-2,-2,-4,4,4,-2,0,-2,2,0,0,-6,0,2,0,0,1,4,-1,3,3,5
STEEM ,2,8,4,0,-2,6,0,2,4,-2,2,-4,6,-4,2,-2,2,-2,-2,-4,-2,-2,2,6,-1,4,2,2,3,5,3
XLM ,4,2,3,-2,1,8,-4,0,6,-4,5,-1,4,-2,-2,-4,-4,-3,-4,3,-8,-6,6,-1,-5,-2,0,-2,3,5,3
ARDR ,4,3,4,-1,0,8,-4,1,2,-2,0,-7,7,6,2,-2,-2,1,2,-2,-2,2,1,3,0,2,6,0,4,3,3
ARK ,2,6,2,-2,0,6,3,0,4,-4,3,-4,4,3,-2,-7,0,0,2,2,-5,1,2,4,0,4,3,-2,4,2,2
STORJ ,3,-4,4,-1,4,6,1,4,0,-6,-2,0,2,8,-1,-2,-2,1,-4,-1,-4,1,5,4,-4,6,4,0,1,-1,2
