date , open, high, low, close, volume, high%, low%, close%
0 2017-09-25 Mon , 4201000.0 , 4333000.0 , 4175000.0 , 4322000.0 , 132.48475499 , 3.142% , -0.619% , 2.880%
1 2017-09-26 Tue , 4317000.0 , 4418000.0 , 4311000.0 , 4321000.0 , 22.78833969 , 2.340% , -0.139% , 0.093%
2 2017-09-27 Wed , 4322000.0 , 4677000.0 , 4318000.0 , 4657000.0 , 32.2696617 , 8.214% , -0.093% , 7.751%
3 2017-09-28 Thu , 4657000.0 , 4772000.0 , 4519000.0 , 4586000.0 , 80.5882434 , 2.469% , -2.963% , -1.525%
4 2017-09-29 Fri , 4586000.0 , 4709000.0 , 4476000.0 , 4657000.0 , 59.35237346 , 2.682% , -2.399% , 1.548%
5 2017-09-30 Sat , 4657000.0 , 4896000.0 , 4651000.0 , 4895000.0 , 19.99848332 , 5.132% , -0.129% , 5.111%
6 2017-10-01 Sun , 4889000.0 , 4978000.0 , 4682000.0 , 4962000.0 , 27.32333246 , 1.820% , -4.234% , 1.493%
7 2017-10-02 Mon , 4962000.0 , 5095000.0 , 4956000.0 , 5025000.0 , 31.72800385 , 2.680% , -0.121% , 1.270%
8 2017-10-03 Tue , 5021000.0 , 5079000.0 , 4811000.0 , 4964000.0 , 11.89930699 , 1.155% , -4.182% , -1.135%
9 2017-10-04 Wed , 4987000.0 , 5002000.0 , 4837000.0 , 4895000.0 , 7.03874388 , 0.301% , -3.008% , -1.845%
10 2017-10-05 Thu , 4894000.0 , 4993000.0 , 4811000.0 , 4926000.0 , 5.36365175 , 2.023% , -1.696% , 0.654%
11 2017-10-06 Fri , 4927000.0 , 5034000.0 , 4885000.0 , 5027000.0 , 25.16382027 , 2.172% , -0.852% , 2.030%
12 2017-10-07 Sat , 4983000.0 , 5070000.0 , 4935000.0 , 5047000.0 , 4.343932 , 1.746% , -0.963% , 1.284%
13 2017-10-08 Sun , 5044000.0 , 5263000.0 , 4993000.0 , 5217000.0 , 145.91785961 , 4.342% , -1.011% , 3.430%
14 2017-10-09 Mon , 5222000.0 , 5761000.0 , 5188000.0 , 5477000.0 , 8.07043419 , 10.322% , -0.651% , 4.883%
15 2017-10-10 Tue , 5469000.0 , 5665000.0 , 5459000.0 , 5486000.0 , 11.69369387 , 3.584% , -0.183% , 0.311%
16 2017-10-11 Wed , 5533000.0 , 5605000.0 , 5451000.0 , 5557000.0 , 4.21265003 , 1.301% , -1.482% , 0.434%
17 2017-10-12 Thu , 5569000.0 , 6377000.0 , 5515000.0 , 6332000.0 , 20.91828711 , 14.509% , -0.970% , 13.701%
18 2017-10-13 Fri , 6346000.0 , 6950000.0 , 6149000.0 , 6438000.0 , 26.82608423 , 9.518% , -3.104% , 1.450%
19 2017-10-14 Sat , 6427000.0 , 6664000.0 , 6322000.0 , 6664000.0 , 3.35282452 , 3.688% , -1.634% , 3.688%
20 2017-10-15 Sun , 6610000.0 , 6700000.0 , 6142000.0 , 6381000.0 , 7.63078273 , 1.362% , -7.080% , -3.464%
21 2017-10-16 Mon , 6403000.0 , 6527000.0 , 6282000.0 , 6491000.0 , 22.92663476 , 1.937% , -1.890% , 1.374%
22 2017-10-17 Tue , 6495000.0 , 6510000.0 , 6299000.0 , 6457000.0 , 4.24133721 , 0.231% , -3.018% , -0.585%
23 2017-10-18 Wed , 6413000.0 , 6489000.0 , 5876000.0 , 6391000.0 , 36.00111898 , 1.185% , -8.374% , -0.343%
24 2017-10-19 Thu , 6405000.0 , 6596000.0 , 6109000.0 , 6511000.0 , 11.95565558 , 2.982% , -4.621% , 1.655%
25 2017-10-20 Fri , 6536000.0 , 6954000.0 , 6395000.0 , 6928000.0 , 21.97426401 , 6.395% , -2.157% , 5.998%
26 2017-10-21 Sat , 6928000.0 , 7253000.0 , 6773000.0 , 6874000.0 , 5.46210809 , 4.691% , -2.237% , -0.779%
27 2017-10-22 Sun , 6858000.0 , 7060000.0 , 6709000.0 , 7039000.0 , 4.39101644 , 2.945% , -2.173% , 2.639%
28 2017-10-23 Mon , 7017000.0 , 7100000.0 , 6668000.0 , 6971000.0 , 14.03934445 , 1.183% , -4.974% , -0.656%
29 2017-10-24 Tue , 7034000.0 , 7052000.0 , 6350000.0 , 6479000.0 , 98.6742294 , 0.256% , -9.724% , -7.890%
30 2017-10-25 Wed , 6479000.0 , 6644000.0 , 6212000.0 , 6643000.0 , 108.36397361 , 2.547% , -4.121% , 2.531%
31 2017-10-26 Thu , 6643000.0 , 6873000.0 , 6534000.0 , 6811000.0 , 428.50851968 , 3.462% , -1.641% , 2.529%
32 2017-10-27 Fri , 6765000.0 , 6950000.0 , 6633000.0 , 6710000.0 , 431.20412963 , 2.735% , -1.951% , -0.813%
33 2017-10-28 Sat , 6708000.0 , 6800000.0 , 6600000.0 , 6715000.0 , 404.19563617 , 1.371% , -1.610% , 0.104%
34 2017-10-29 Sun , 6715000.0 , 7030000.0 , 6588000.0 , 6961000.0 , 656.27989369 , 4.691% , -1.891% , 3.663%
35 2017-10-30 Mon , 6961000.0 , 7007000.0 , 6809000.0 , 6964000.0 , 521.84628417 , 0.661% , -2.184% , 0.043%
