업비트 원화 종목 요일별 등/락 분석 (상승은 +1 하락은 -1 로 계산 하여 집계를 냄)
종목, 월, 화, 수, 목, 금, 토, 일, 상승, 하락, 계산 일수
BTC, -4, 2, 6, -12, 1, 10, 2, 185, 180, 365
ETH, 0, 3, 12, -9, -6, 16, 6, 192, 170, 365
NEO, -16, 0, 18, -6, -1, 8, 4, 185, 178, 365
MTL, -2, -2, 3, -7, -6, 19, 0, 182, 177, 365
LTC, -9, 6, 8, -10, -7, 14, -4, 181, 183, 365
XRP, -9, 6, 5, -7, -5, 3, -1, 171, 179, 365
ETC, -6, 0, 10, -12, -3, 12, -10, 178, 187, 365
OMG, -2, 4, 9, 0, -13, 17, -2, 187, 174, 365
SNT, -13, 4, 9, 2, -4, 6, -14, 170, 180, 365
WAVES, -12, 0, 10, 1, 1, -5, -6, 176, 187, 365
XEM, -15, 1, 10, -2, -4, 19, -6, 174, 171, 365
QTUM, -14, 2, 6, -12, -3, 14, -3, 176, 186, 365
LSK, -9, -6, 8, 6, -8, 9, -2, 179, 181, 365
STEEM, -10, 4, 15, 2, 4, 17, -7, 192, 167, 365
XLM, -8, 10, 12, -5, -6, 10, -13, 174, 174, 365
ARDR, -7, 7, 9, 8, 1, 12, -8, 185, 163, 365
ARK, -3, 1, 7, 2, -2, 13, -8, 181, 171, 365
STORJ, -14, -6, 11, 2, -5, 18, -4, 179, 177, 365
GRS, -10, -3, 16, 5, 7, 13, -12, 187, 171, 365
REP, -16, -4, 16, -5, 9, 14, -10, 184, 180, 365
ADA, -16, -1, 3, -11, -9, 10, -7, 160, 191, 365
SBD, -16, 2, 8, 3, -3, 23, -2, 188, 173, 365
POWR, -8, 10, 2, 3, 7, 9, -15, 183, 175, 365
BTG, 2, 2, 8, -16, -3, 2, 0, 180, 185, 365
ICX, 0, 4, 8, -4, -1, 11, 2, 190, 170, 365
EOS, -7, 6, 11, -10, -1, 13, -3, 184, 175, 365
TRX, -18, 12, 14, 1, 8, 13, -5, 184, 159, 365
SC, -8, -1, 12, -5, -3, 19, -1, 179, 166, 365
ONT, -16, 9, 15, 1, -3, 16, 6, 195, 167, 365
ZIL, -16, 3, 15, -8, -6, 9, -3, 170, 176, 365
POLY, -4, 3, 4, -2, 6, 4, -2, 184, 175, 365
ZRX, -11, 9, 12, -6, -1, 17, -8, 185, 173, 365
LOOM, -2, 2, 11, 1, -1, 15, -11, 180, 165, 365
BCH, -14, 0, 4, -16, -5, 12, -8, 169, 196, 365
BAT, -16, 0, 10, 0, -6, 12, -3, 179, 182, 365
IOST, -14, 1, 12, -2, -2, 8, -6, 175, 178, 365
RFR, -8, -1, 16, 0, -2, 21, -5, 182, 161, 365
CVC, -10, 1, 11, 2, 3, 19, -3, 191, 168, 365
IQ, -5, 7, 13, 0, 0, 14, -5, 180, 156, 365
IOTA, -2, 12, 13, -6, 3, 16, -8, 192, 164, 365
MFT, 1, -1, 10, -9, 4, 19, -5, 183, 164, 365
ONG, -6, -2, 14, 0, 6, 22, -7, 191, 164, 365
GAS, -12, -10, 19, 2, 7, 12, 1, 191, 172, 365
UPP, -7, 5, 10, 2, 8, 8, 0, 185, 159, 365
ELF, -5, -8, 14, 0, 7, 3, -5, 181, 175, 365
KNC, -8, 0, 18, 1, 4, 8, -9, 183, 169, 365
BSV, -10, -10, 4, -18, 2, 10, -12, 165, 199, 365
THETA, -5, 10, 4, -6, -14, 6, -8, 174, 187, 365
QKC, -13, 2, 18, 2, 8, 16, -17, 181, 165, 365
BTT, -14, 4, 11, -9, 2, 6, -5, 139, 144, 365
MOC, -15, 1, 18, 3, 9, 21, -6, 189, 158, 365
