업비트 원화 종목 요일별 등/락 분석 (상승은 +1 하락은 -1 로 계산 하여 집계를 냄),,,,,,,,,,
종목, 월, 화, 수, 목, 금, 토, 일, 상승, 하락, 계산 일수
BTC,0,0,0,-4,-6,0,0,30,40,70
ETH,0,-2,-2,-5,-4,2,0,29,40,70
NEO,-2,0,2,-6,-2,2,2,33,37,70
MTL,0,-1,-4,-2,-6,3,2,30,38,70
LTC,-2,2,-2,-6,-2,2,-2,30,40,70
XRP,-2,6,-2,-4,-2,0,0,33,37,70
ETC,0,2,-2,-6,0,2,-2,32,38,70
OMG,-4,6,0,-4,-2,1,0,33,36,70
SNT,-4,4,2,-4,-2,-2,0,32,38,70
WAVES,-2,-2,-2,-4,-2,-8,-2,24,46,70
XEM,-1,0,-2,-4,-4,1,-1,28,39,70
QTUM,-2,0,-2,-6,-2,2,0,30,40,70
LSK,-4,0,0,-4,-5,-2,0,27,42,70
STEEM,-6,4,-2,-1,-4,1,0,30,38,70
XLM,-3,3,1,-3,0,-2,-1,30,35,70
ARDR,-6,3,-1,0,-1,-2,-2,29,38,70
ARK,-5,0,0,-2,-7,-2,0,26,42,70
STORJ,-4,2,-2,-2,-8,0,0,28,42,70
GRS,-4,-1,4,-2,2,-2,-2,32,37,70
REP,-6,-2,-2,0,1,-2,2,30,39,70
ADA,-2,6,0,-5,-4,0,1,32,36,70
SBD,-6,0,0,2,-6,2,0,31,39,70
POWR,-4,2,0,-3,-2,1,-1,30,37,70
BTG,2,2,-2,-4,-2,-2,0,32,38,70
ICX,-4,4,0,-4,-2,-2,4,33,37,70
EOS,-2,4,0,-4,-2,2,-2,33,37,70
TRX,-5,4,4,0,1,-2,-2,33,33,70
SC,-4,1,-1,-2,-3,-2,0,27,38,70
ONT,-4,2,2,-5,-2,0,0,31,38,70
ZIL,-6,0,0,-4,-2,-3,0,26,41,70
POLY,-4,4,4,-6,-2,-1,0,31,36,70
ZRX,-2,1,0,-6,-6,-1,-2,26,42,70
LOOM,-2,2,2,-2,-1,-2,-2,31,36,70
BCH,0,0,-2,-6,-2,2,-2,30,40,70
BAT,-4,4,0,-6,-5,2,0,30,39,70
IOST,-2,4,1,-5,-2,1,1,32,34,70
RFR,-4,1,2,-4,-6,3,0,30,38,70
CVC,-4,1,0,-2,0,4,1,34,34,70
IQ,-3,0,4,-4,-4,-3,1,29,38,70
IOTA,-4,2,-2,-6,-2,3,-1,29,39,70
MFT,-3,0,1,-5,-3,2,2,29,35,70
ONG,-2,0,2,-2,-4,-1,0,31,38,70
GAS,0,-2,4,-2,-2,2,0,35,35,70
UPP,-4,-1,2,-2,-6,2,0,29,38,70
ELF,-5,2,1,-1,2,-2,0,32,35,70
KNC,-2,-2,5,0,-1,-4,-2,31,37,70
BSV,2,2,0,-4,0,0,-2,34,36,70
THETA,0,3,0,-2,-4,-2,0,32,37,70
QKC,-6,2,2,-4,0,-2,1,31,38,70
BTT,-7,2,0,-4,4,-1,-4,14,24,70
MOC,-7,6,3,-2,-2,0,0,32,34,70
ENJ,-4,6,2,-6,-4,-2,0,31,39,70
TFUEL,-3,0,0,-2,-4,-2,0,29,40,70
MANA,-2,3,0,-6,-2,1,-3,29,38,70
ANKR,-2,0,0,-4,-4,1,0,30,39,70
AERGO,-4,2,1,-2,-3,-2,0,30,38,70
ATOM,-4,-2,-2,-6,-4,2,-4,25,45,70
TT,-3,-2,0,-4,-4,1,0,28,40,70
CRE,-5,1,0,-2,-4,-2,0,28,40,70
MBL,-5,0,-2,0,-4,-2,0,28,41,70
WAXP,-4,-1,-2,-3,-6,-2,0,25,43,70
HBAR,-6,0,-2,-4,-4,-1,0,26,43,70
MED,0,1,-2,-1,-2,1,0,32,35,70
MLK,-5,2,2,-4,-3,-1,1,29,37,70
STPT,-6,-2,1,-4,0,3,-2,29,39,70
ORBS,0,6,0,0,-3,2,-4,35,34,70
VET,-2,4,0,-4,-5,0,-2,30,39,70
CHZ,-3,3,0,-6,-3,0,-2,27,38,70
STMX,-3,2,2,-6,-2,0,0,31,38,70
DKA,-4,-1,5,1,-2,1,-2,31,33,70
HIVE,-4,3,-2,-2,-4,0,-2,27,38,70
KAVA,-2,2,-4,0,-4,2,2,33,37,70
AHT,-3,0,2,-4,-4,2,-1,30,38,70
LINK,-2,7,0,-4,-2,2,0,35,34,70
XTZ,-4,5,2,-4,2,4,1,37,31,70
BORA,-5,-2,0,-4,-3,-3,-2,24,43,70
JST,-4,3,0,-2,0,-2,4,34,35,70
CRO,-2,6,0,-6,-6,2,-2,31,39,70
TON,-5,2,0,-2,-2,0,0,31,38,70
SXP,-2,0,4,-6,-2,-1,-2,30,39,70
HUNT,-6,2,0,0,0,1,2,34,35,70
PLA,0,0,2,-4,-5,1,-2,30,38,70
DOT,-4,2,0,-2,-3,4,-2,32,37,70
SRM,-5,1,-2,-1,-5,2,2,29,37,70
MVL,-6,0,2,-2,-4,-3,2,29,40,70
STRAX,-4,2,2,-3,-2,-3,2,31,37,70
AQT,-6,4,0,-4,-4,-2,2,30,40,70
GLM,-6,0,2,-4,-3,-4,-2,26,43,70
SSX,-5,3,0,-6,-2,-4,2,27,39,70
META,0,0,-2,-2,-2,1,-2,31,38,70
FCT2,-3,1,2,0,0,-2,0,33,35,70
CBK,-4,0,2,-4,-6,-4,0,27,43,70
SAND,-4,4,0,-6,-4,1,2,31,38,70
HUM,0,6,-2,-6,0,-2,2,34,36,70
DOGE,-4,-1,0,-4,-1,0,2,28,36,70
STRK,-4,-1,2,-4,-4,4,-2,30,39,70
PUNDIX,-2,-2,-2,-4,-4,-4,2,27,43,70
FLOW,-2,3,-2,-6,-4,0,-2,28,41,70
DAWN,-2,2,2,-6,0,-5,0,30,39,70
AXS,-4,2,-4,-8,-2,2,-2,27,43,70
STX,-2,-2,0,-6,-6,-2,0,26,44,70
XEC,-5,3,-2,-5,0,-1,-2,26,38,70
SOL,-2,2,-2,-4,-4,4,-2,31,39,70
MATIC,-2,3,-2,-4,-2,0,0,31,38,70
NU,-4,-2,2,-6,-3,-3,-4,23,43,70
AAVE,0,2,0,-6,-2,-2,-4,29,41,70
1INCH,-2,1,2,-6,-3,-2,-2,27,39,70
ALGO,0,0,0,-4,-2,4,0,34,36,70
NEAR,0,2,-2,-6,-6,-2,0,28,42,70
WEMIX,-6,4,0,-2,-1,-2,-2,30,39,70
AVAX,0,0,0,-6,-4,2,-2,30,40,70
T,-6,-2,3,-6,-3,-4,0,24,42,70
CELO,-2,2,2,-1,-2,-6,2,32,37,70
GMT,-2,0,-1,-1,-1,-2,2,20,25,45
구분,-357,169,23,-409,-308,-39,-43,,,
, 월, 화, 수, 목, 금, 토, 일,,,
