[NFT]
SUPER, 슈퍼팜
THETA, 쎄타토큰
FLOW, 플로우
LOOKS, 룩스레어
DGB, 디지바이트
CHR, 크로미아
MANA, 디센트럴랜드
ENS, 이더리움 네임 서비스
OGN, 오리진프로토콜
GALA, 갈라
ENJ, 엔진코인
AQT, 알파쿼크
AXS, 엑시인피니티
SAND, 샌드박스
GMT, 스테픈
COCOS, 코코스BCX
ILV, 일루비움
WAXP, 왁스
RARE, 슈퍼레어
APE, 에이피이코인
BORA, 보라
BTR, 비트립스
DEGO, 디고 파이낸스
XTZ, 테조스
KLAY, 클레이튼
QKC, 쿼크체인
RNDR, 렌더토큰
PLA, 플레이댑
CHZ, 칠리즈
MOC, 모스코인
PXL, 픽셀
WEMIX, 위믹스

[P2E]
POLIS, 스타아틀라스다오
PYR, 벌컨 포지드
MC, 메리트 서클
ATLAS, 스타아틀라스
DAR, 마인즈오브달라니아
SLP, 스무드러브포션
GALA, 갈라
DAWN, 던프로토콜
ENJ, 엔진코인
MBOX, 모박스
TLM, 에일리언월드
AXS, 엑시인피니티
BNX, 바이너리X
ALICE, 앨리스
SAND, 샌드박스
AGLD, 어드벤처 골드
MIX, 믹스마블
ILV, 일루비움
WAXP, 왁스
ITAMCUBE, 큐브
BORA, 보라
VOXEL, 복셀
GHST, 아베고치
YGG, 일드길드게임즈
PLA, 플레이댑
CTX, 씨투엑스
LOKA, 리그오브킹덤즈
WEMIX, 위믹스
ORBR, 오블러
HUNT, 헌트
MANA, 디센트럴랜드
FALA, 파라랜드

[LAYER2]
NEAR, 니어프로토콜
SKL, 스케일네트워크
OMG, 오미세고
METIS, 메티스다오
SNX, 신세틱스
LRC, 루프링
BNT, 방코르
SXP, 솔라
DYDX, 디와이디엑스
INJ, 인젝티브 프로토콜
MATIC, 폴리곤
BOBA, 보바코인
IMX, 이뮤터블X
AVAX, 아발란체
RC, 루프링

[WEB3]
THETA, 쎄타토큰
FLOW, 플로우
LPT, 라이브피어
NEAR, 니어프로토콜
ALGO, 알고랜드
BAT, 베이직어텐션토큰
OCEAN, 오션프로토콜
ONT, 온톨로지
ATOM, 코스모스
DOT, 폴카닷
CVC, 시빅
AUDIO, 오디우스
AR, 알위브
STORJ, 스토리지
NU, 누사이퍼
STX, 스택스
STEEM, 스팀
AVAX, 아발란체
SC, 시아코인
ANKR, 앵커
HBAR, 헤데라
SNT, 스테이터스네트워크토큰
MASK, 마스크네트워크
KSM, 쿠사마
ICX, 아이콘
FIL, 파일코인
KAVA, 카바
MATIC, 폴리곤
ICP, 인터넷 컴퓨터
GLM, 골렘
BTT, 비트토렌트
XTZ, 테조스
HIVE, 하이브
IQ, 에브리피디아

[KIMCHI]
HUM, 휴먼스케이프
DKA, 디카르고
PXL, 픽셀
UPP, 센티넬프로토콜
BORA, 보라
AHT, 아하토큰
MOC, 모스코인
MBL, 무비블록
MARO, 마로
QTCON, 퀴즈톡
MED, 메디블록
META, 메타디움
MLK, 밀크
PLA, 플레이댑
MVL, 엠블
PCI, 페이코인
STPT, 에스티피
SSX, 썸씽
CRE, 캐리프로토콜
FCT2, 피르마체인
CBK, 코박토큰
OBSR, 옵저버
TON, 톤
AERGO, 아르고
SAND, 샌드박스
AQT, 알파쿼크
ICX, 아이콘
KLAY, 클레이튼

[CHINA]
NEO, 네오
ONT, 온톨로지
EOS, 이오스
VET, 비체인
XEC, 이캐시
ONG, 온톨로지가스
SC, 시아코인
QTUM, 퀀텀
BSV, 비트코인에스브이
TT, 썬더토큰
ELF, 엘프
GAS, 가스
BCH, 비트코인캐시
BTT, 비트토렌트
QKC, 쿼크체인
JST, 저스트
TRX, 트론

[DID]
ONT, 온톨로지
CVC, 시빅
ICX, 아이콘
FCT2, 피르마체인
META, 메타디움
BIOT, 바이오패스포트
HUM, 휴먼스케이프
MED, 메디블록

[PAYMENT]
CELO, 셀로
POWR, 파워렛저
XLM, 스텔라루멘
HBAR, 헤데라
STMX, 스톰엑스
CRO, 크로노스
STRK, 스트라이크
PCI, 페이코인
XRP, 리플
PUNDIX, 펀디엑스
MLK, 밀크

[FAN]
ATM, 아틀레티코 마드리드 팬토큰
OG, OG 팬토큰
ACM, AC밀란 팬토큰
LAZIO, SS라치오 팬토큰
PSG, 파리생제르맹 팬토큰
CITY, 맨체스터시티 팬토큰
ALPINE, 알파인F1팀 팬토큰
PORTO, FC포르투 팬토큰
ASR, AS로마 팬토큰
SANTOS, 산투스FC 팬토큰
BAR, FC바르셀로나 팬토큰
JUV, 유벤투스 팬토큰
CHZ, 칠리즈

[PLATFORM]
NEAR, 니어프로토콜
ETH, 이더리움
ALGO, 알고랜드
EOS, 이오스
DOT, 폴카닷
ATOM, 코스모스
LUNA, 테라
SOL, 솔라나
ADA, 에이다
AVAX, 아발란체
KLAY, 클레이튼
LSK, 리스크
TRX, 트론
NEO, 네오
ARK, 아크
XTZ, 테조스
ICX, 아이콘
ELF, 엘프
MATIC, 폴리곤

[BITCOIN]
XEC, 이캐시
BTG, 비트코인골드
STX, 스택스
BTC, 비트코인
BSV, 비트코인에스브이
BCH, 비트코인캐시

[STORAGE]
HOT, 홀로
AR, 알위브
STORJ, 스토리지
BTT, 비트토렌트
SC, 시아코인
FIL, 파일코인
GLM, 골렘

[DEX]
RUNE, 토르체인
KNC, 카이버네트워크
SNX, 신세틱스
ZRX, 제로엑스
DYP, 디파이일드프로토콜
CRV, 커브
BNT, 뱅코르
DYDX, 디와이디엑스
SUSHI, 스시
UNI, 유니스왑
CAKE, 팬케이크스왑
RAY, 레이디움

[MIM]
DOGE, 도지코인
SHIB, 시바이누

[DEFI]
AVAX, 아발란체
XTZ, 테조스
LRC, 루프링
