THEME,SYMBOL,KOR,MARKET,DESC
NFT,SUPER,슈퍼팜,,
NFT,THETA,쎄타토큰,,
NFT,FLOW,플로우,,
NFT,LOOKS,룩스레어,,
NFT,DGB,디지바이트,,
NFT,CHR,크로미아,,
NFT,MANA,디센트럴랜드,,
NFT,ENS,이더리움네임서비스,,
NFT,OGN,오리진프로토콜,,
NFT,GALA,갈라,,
NFT,ENJ,엔진코인,,
NFT,AQT,알파쿼크,,
NFT,AXS,엑시인피니티,,
NFT,SAND,샌드박스,,
NFT,GMT,스테픈,,
NFT,COCOS,코코스BCX,,
NFT,ILV,일루비움,,
NFT,WAXP,왁스,,
NFT,RARE,슈퍼레어,,
NFT,APE,에이피이코인,,
NFT,BORA,보라,,
NFT,BTR,비트립스,,
NFT,DEGO,디고파이낸스,,
NFT,XTZ,테조스,,
NFT,KLAY,클레이튼,,
NFT,QKC,쿼크체인,,
NFT,RNDR,렌더토큰,,
NFT,PLA,플레이댑,,
NFT,CHZ,칠리즈,,
NFT,MOC,모스코인,,
NFT,PXL,픽셀,,
NFT,WEMIX,위믹스,,
P2E,POLIS,스타아틀라스다오,,
P2E,PYR,벌컨포지드,,
P2E,MC,메리트서클,,
P2E,ATLAS,스타아틀라스,,
P2E,DAR,마인즈오브달라니아,,
P2E,SLP,스무드러브포션,,
P2E,GALA,갈라,,
P2E,DAWN,던프로토콜,,
P2E,ENJ,엔진코인,,
P2E,MBOX,모박스,,
P2E,TLM,에일리언월드,,
P2E,AXS,엑시인피니티,,
P2E,BNX,바이너리X,,
P2E,ALICE,앨리스,,
P2E,SAND,샌드박스,,
P2E,AGLD,어드벤처골드,,
P2E,MIX,믹스마블,,
P2E,ILV,일루비움,,
P2E,WAXP,왁스,,
P2E,ITAMCUBE,큐브,,
P2E,BORA,보라,,
P2E,VOXEL,복셀,,
P2E,GHST,아베고치,,
P2E,YGG,일드길드게임즈,,
P2E,PLA,플레이댑,,
P2E,CTX,씨투엑스,,
P2E,LOKA,리그오브킹덤즈,,
P2E,WEMIX,위믹스,,
P2E,ORBR,오블러,,
P2E,HUNT,헌트,,
