date, open, high, low, close, volume, high%, low%, close%
2021-01-26, 36054000.0, 36594000.0, 34808000.0, 35923000.0, 8489.58317688, 1.498% , -3.456% , -0.363%
2021-01-27, 35929000.0, 36026000.0, 33235000.0, 34300000.0, 9356.77161322, 0.270% , -7.498% , -4.534%
2021-01-28, 34293000.0, 37186000.0, 33726000.0, 36624000.0, 9452.48550052, 8.436% , -1.653% , 6.797%
2021-03-16, 64490000.0, 66020000.0, 62000000.0, 66020000.0, 13522.70847173, 2.372% , -3.861% , 2.372%
2021-03-17, 66020000.0, 68800000.0, 62500000.0, 68494000.0, 14319.54868263, 4.211% , -5.332% , 3.747%
2021-03-18, 68494000.0, 70204000.0, 66846000.0, 67139000.0, 11432.45517689, 2.497% , -2.406% , -1.978%
2021-04-27, 64198000.0, 65000000.0, 63375000.0, 64767000.0, 8003.35594526, 1.249% , -1.282% , 0.886%
2021-04-28, 64759000.0, 65899000.0, 62608000.0, 64100000.0, 8304.37721754, 1.760% , -3.322% , -1.018%
2021-04-29, 64060000.0, 64900000.0, 63000000.0, 63814000.0, 9270.47473273, 1.311% , -1.655% , -0.384%
2021-06-15, 46511000.0, 47500000.0, 45483000.0, 46389000.0, 10580.65997587, 2.126% , -2.210% , -0.262%
2021-06-16, 46409000.0, 46543000.0, 44887000.0, 45295000.0, 10781.5432318,  0.289% , -3.280% , -2.400%
2021-06-17, 45306000.0, 46048000.0, 44390000.0, 44854000.0, 10707.19704008, 1.638% , -2.022% , -0.998%
2021-07-27, 43021000.0, 45506000.0, 42050000.0, 45409000.0, 10710.88094497, 5.776% , -2.257% , 5.551%
2021-07-28, 45447000.0, 47494000.0, 45000000.0, 46350000.0, 11869.72271998, 4.504% , -0.984% , 1.987%
2021-07-29, 46350000.0, 46996000.0, 45529000.0, 45907000.0, 5904.86424006,  1.394% , -1.771% , -0.956%
2021-09-21, 53801000.0, 54400000.0, 50211000.0, 50699000.0, 11491.19131035, 1.113% , -6.673% , -5.766%
2021-09-22, 50699000.0, 54153000.0, 50059000.0, 53856000.0, 8922.15765938, 6.813% , -1.262% , 6.227%
2021-09-23, 53853000.0, 54656000.0, 52571000.0, 54410000.0, 7737.69933454, 1.491% , -2.381% , 1.034%
2021-11-02, 72402000.0, 75590000.0, 72031000.0, 74150000.0, 7684.60605039, 4.403% , -0.512% , 2.414%
2021-11-03, 74106000.0, 75141000.0, 72500000.0, 74600000.0, 7931.12310979, 1.397% , -2.167% , 0.667%
2021-11-04, 74607000.0, 74880000.0, 73480000.0, 73807000.0, 5757.70198775, 0.366% , -1.511% , -1.072%
2021-12-14, 58626000.0, 60150000.0, 57347000.0, 59930000.0, 7199.35776367, 2.600% , -2.182% , 2.224%
2021-12-15, 59909000.0, 62150000.0, 58055000.0, 61198000.0, 10234.38988975, 3.741% , -3.095% , 2.152%
2021-12-16, 61196000.0, 61660000.0, 59500000.0, 59817000.0, 7807.69618658, 0.758% , -2.771% , -2.253%
2022-01-26, 44905000.0, 47460000.0, 44520000.0, 45100000.0, 10144.39442742, 5.690% , -0.857% , 0.434%
2022-01-27, 45100000.0, 45844000.0, 43786000.0, 45809000.0, 7488.1448014, 1.650% , -2.914% , 1.572%
2022-01-28, 45800000.0, 46890000.0, 45060000.0, 46588000.0, 5565.15427472, 2.380% , -1.616% , 1.721%
2022-03-15, 49212000.0, 49383000.0, 47781000.0, 48640000.0, 5609.76874722, 0.347% , -2.908% , -1.162%
2022-03-16, 48609000.0, 51307000.0, 48402000.0, 50389000.0, 12621.47055692, 5.550% , -0.426% , 3.662%
2022-03-17, 50392000.0, 51099000.0, 49647000.0, 50069000.0, 6441.90030738, 1.403% , -1.478% , -0.641%
