ticker symbol: btc
date , open, high, low, close, volume, high %, low %, close %
0 2019-08-09 , 14250000.0 , 14315000.0 , 13980000.0 , 14248000.0 , 7624.83526974 , 0.456% , -1.895% , -0.014%
1 2019-08-10 , 14246000.0 , 14331000.0 , 13582000.0 , 13699000.0 , 8664.21798351 , 0.597% , -4.661% , -3.840%
2 2019-08-11 , 13698000.0 , 13918000.0 , 13434000.0 , 13876000.0 , 5737.5360073 , 1.606% , -1.927% , 1.299%
3 2019-08-12 , 13876000.0 , 13893000.0 , 13535000.0 , 13696000.0 , 3581.48838483 , 0.123% , -2.457% , -1.297%
4 2019-08-13 , 13696000.0 , 13745000.0 , 13012000.0 , 13147000.0 , 7466.96099317 , 0.358% , -4.994% , -4.008%
5 2019-08-14 , 13147000.0 , 13152000.0 , 12109000.0 , 12202000.0 , 13208.81054594 , 0.038% , -7.895% , -7.188%
6 2019-08-15 , 12200000.0 , 12770000.0 , 11535000.0 , 12619000.0 , 20920.03379127 , 4.672% , -5.451% , 3.434%
7 2019-08-16 , 12620000.0 , 12847000.0 , 11930000.0 , 12575000.0 , 17519.15336984 , 1.799% , -5.468% , -0.357%
8 2019-08-17 , 12575000.0 , 12722000.0 , 12201000.0 , 12424000.0 , 6445.93547673 , 1.169% , -2.974% , -1.201%
9 2019-08-18 , 12422000.0 , 12729000.0 , 12230000.0 , 12509000.0 , 6357.87368969 , 2.471% , -1.546% , 0.700%
10 2019-08-19 , 12512000.0 , 13191000.0 , 12413000.0 , 13165000.0 , 10273.77158288 , 5.427% , -0.791% , 5.219%
11 2019-08-20 , 13166000.0 , 13211000.0 , 12746000.0 , 12952000.0 , 8459.48670027 , 0.342% , -3.190% , -1.625%
12 2019-08-21 , 12959000.0 , 13014000.0 , 12011000.0 , 12293000.0 , 11402.28623537 , 0.424% , -7.315% , -5.139%
13 2019-08-22 , 12293000.0 , 12383000.0 , 11870000.0 , 12210000.0 , 9088.12379505 , 0.732% , -3.441% , -0.675%
14 2019-08-23 , 12210000.0 , 12523000.0 , 12138000.0 , 12443000.0 , 6873.32738549 , 2.563% , -0.590% , 1.908%
15 2019-08-24 , 12454000.0 , 12470000.0 , 11985000.0 , 12201000.0 , 4726.72264489 , 0.128% , -3.766% , -2.031%
16 2019-08-25 , 12201000.0 , 12410000.0 , 12000000.0 , 12218000.0 , 4711.94391647 , 1.713% , -1.647% , 0.139%
17 2019-08-26 , 12218000.0 , 12680000.0 , 12209000.0 , 12421000.0 , 7128.12167165 , 3.781% , -0.074% , 1.661%
18 2019-08-27 , 12415000.0 , 12444000.0 , 12088000.0 , 12208000.0 , 3899.29018809 , 0.234% , -2.634% , -1.667%
19 2019-08-28 , 12208000.0 , 12319000.0 , 11684000.0 , 11787000.0 , 6489.41656104 , 0.909% , -4.292% , -3.449%
20 2019-08-29 , 11787000.0 , 11788000.0 , 11380000.0 , 11525000.0 , 6298.06439684 , 0.008% , -3.453% , -2.223%
21 2019-08-30 , 11525000.0 , 11768000.0 , 11384000.0 , 11632000.0 , 4350.76365002 , 2.108% , -1.223% , 0.928%
22 2019-08-31 , 11643000.0 , 11718000.0 , 11500000.0 , 11612000.0 , 2750.65389976 , 0.644% , -1.228% , -0.266%
23 2019-09-01 , 11612000.0 , 11860000.0 , 11544000.0 , 11768000.0 , 2564.52409767 , 2.136% , -0.586% , 1.343%
24 2019-09-02 , 11768000.0 , 12545000.0 , 11726000.0 , 12435000.0 , 6302.83112041 , 6.603% , -0.357% , 5.668%
25 2019-09-03 , 12435000.0 , 12959000.0 , 12310000.0 , 12703000.0 , 9806.45336225 , 4.214% , -1.005% , 2.155%
26 2019-09-04 , 12722000.0 , 12900000.0 , 12438000.0 , 12641000.0 , 6669.27583971 , 1.399% , -2.232% , -0.637%
27 2019-09-05 , 12636000.0 , 12752000.0 , 12533000.0 , 12644000.0 , 3920.57195261 , 0.918% , -0.815% , 0.063%
28 2019-09-06 , 12644000.0 , 13014000.0 , 12306000.0 , 12341000.0 , 8927.34060442 , 2.926% , -2.673% , -2.396%
29 2019-09-07 , 12340000.0 , 12588000.0 , 12335000.0 , 12473000.0 , 3300.44318828 , 2.010% , -0.041% , 1.078%
30 2019-09-08 , 12475000.0 , 12579000.0 , 12271000.0 , 12370000.0 , 2998.75719124 , 0.834% , -1.635% , -0.842%
31 2019-09-09 , 12370000.0 , 12480000.0 , 12010000.0 , 12278000.0 , 5421.69210394 , 0.889% , -2.910% , -0.744%
32 2019-09-10 , 12270000.0 , 12330000.0 , 11962000.0 , 12078000.0 , 3132.17632188 , 0.489% , -2.510% , -1.565%
33 2019-09-11 , 12073000.0 , 12255000.0 , 11858000.0 , 12162000.0 , 3747.82512087 , 1.507% , -1.781% , 0.737%
34 2019-09-12 , 12163000.0 , 12466000.0 , 12038000.0 , 12427000.0 , 3436.84212336 , 2.491% , -1.028% , 2.171%
35 2019-09-13 , 12418000.0 , 12444000.0 , 12137000.0 , 12306000.0 , 2443.51292131 , 0.209% , -2.263% , -0.902%
36 2019-09-14 , 12306000.0 , 12330000.0 , 12147000.0 , 12253000.0 , 2424.39093154 , 0.195% , -1.292% , -0.431%
37 2019-09-15 , 12258000.0 , 12290000.0 , 12150000.0 , 12169000.0 , 2032.31464177 , 0.261% , -0.881% , -0.726%
38 2019-09-16 , 12176000.0 , 12251000.0 , 11953000.0 , 12133000.0 , 3908.91952001 , 0.616% , -1.831% , -0.353%
39 2019-09-17 , 12133000.0 , 12136000.0 , 12001000.0 , 12061000.0 , 4203.17884704 , 0.025% , -1.088% , -0.593%
40 2019-09-18 , 12060000.0 , 12154000.0 , 12010000.0 , 12050000.0 , 3927.0798215 , 0.779% , -0.415% , -0.083%
41 2019-09-19 , 12049000.0 , 12250000.0 , 11556000.0 , 12180000.0 , 6904.491687 , 1.668% , -4.092% , 1.087%
42 2019-09-20 , 12175000.0 , 12222000.0 , 12002000.0 , 12074000.0 , 3081.28623456 , 0.386% , -1.421% , -0.830%
43 2019-09-21 , 12074000.0 , 12080000.0 , 11808000.0 , 11891000.0 , 2493.56516351 , 0.050% , -2.203% , -1.516%
44 2019-09-22 , 11891000.0 , 11980000.0 , 11733000.0 , 11936000.0 , 3173.26096381 , 0.748% , -1.329% , 0.378%
45 2019-09-23 , 11943000.0 , 11960000.0 , 11490000.0 , 11545000.0 , 4597.23259343 , 0.142% , -3.793% , -3.332%
46 2019-09-24 , 11545000.0 , 11668000.0 , 9800000.0 , 10194000.0 , 12189.27183059 , 1.065% , -15.115% , -11.702%
47 2019-09-25 , 10221000.0 , 10587000.0 , 9811000.0 , 10143000.0 , 9974.20045584 , 3.581% , -4.011% , -0.763%
48 2019-09-26 , 10146000.0 , 10200000.0 , 9375000.0 , 9700000.0 , 10322.36470948 , 0.532% , -7.599% , -4.396%
49 2019-09-27 , 9700000.0 , 9914000.0 , 9431000.0 , 9833000.0 , 5463.77470047 , 2.206% , -2.773% , 1.371%
50 2019-09-28 , 9833000.0 , 9972000.0 , 9633000.0 , 9874000.0 , 3868.14817646 , 1.414% , -2.034% , 0.417%
51 2019-09-29 , 9875000.0 , 9907000.0 , 9543000.0 , 9670000.0 , 2898.38841753 , 0.324% , -3.362% , -2.076%
52 2019-09-30 , 9672000.0 , 9984000.0 , 9268000.0 , 9945000.0 , 8157.17697332 , 3.226% , -4.177% , 2.823%
53 2019-10-01 , 9945000.0 , 10234000.0 , 9797000.0 , 9987000.0 , 6643.78675421 , 2.906% , -1.488% , 0.422%
54 2019-10-02 , 9987000.0 , 10092000.0 , 9812000.0 , 10077000.0 , 3695.09916577 , 1.051% , -1.752% , 0.901%
55 2019-10-03 , 10089000.0 , 10130000.0 , 9786000.0 , 9937000.0 , 3518.31758295 , 0.406% , -3.003% , -1.507%
56 2019-10-04 , 9932000.0 , 9942000.0 , 9663000.0 , 9755000.0 , 3338.16773592 , 0.101% , -2.708% , -1.782%
57 2019-10-05 , 9755000.0 , 9791000.0 , 9570000.0 , 9720000.0 , 2297.85517253 , 0.369% , -1.896% , -0.359%
58 2019-10-06 , 9720000.0 , 9754000.0 , 9370000.0 , 9443000.0 , 3160.75687312 , 0.350% , -3.601% , -2.850%
59 2019-10-07 , 9441000.0 , 9893000.0 , 9295000.0 , 9749000.0 , 6586.42261914 , 4.788% , -1.546% , 3.262%
60 2019-10-08 , 9748000.0 , 9928000.0 , 9661000.0 , 9728000.0 , 3877.77878012 , 1.847% , -0.892% , -0.205%
61 2019-10-09 , 9729000.0 , 10300000.0 , 9670000.0 , 10182000.0 , 5787.8182771 , 5.869% , -0.606% , 4.656%
62 2019-10-10 , 10182000.0 , 10305000.0 , 10020000.0 , 10167000.0 , 4579.45123586 , 1.208% , -1.591% , -0.147%
63 2019-10-11 , 10167000.0 , 10443000.0 , 9803000.0 , 9814000.0 , 6349.28685378 , 2.715% , -3.580% , -3.472%
64 2019-10-12 , 9813000.0 , 9978000.0 , 9805000.0 , 9867000.0 , 1870.88197695 , 1.681% , -0.082% , 0.550%
65 2019-10-13 , 9879000.0 , 9997000.0 , 9723000.0 , 9807000.0 , 2289.99944652 , 1.194% , -1.579% , -0.729%
66 2019-10-14 , 9804000.0 , 9907000.0 , 9735000.0 , 9871000.0 , 2561.96675963 , 1.051% , -0.704% , 0.683%
67 2019-10-15 , 9870000.0 , 9944000.0 , 9675000.0 , 9719000.0 , 2837.93058097 , 0.750% , -1.976% , -1.530%
68 2019-10-16 , 9715000.0 , 9733000.0 , 9441000.0 , 9525000.0 , 3148.02448435 , 0.185% , -2.820% , -1.956%
69 2019-10-17 , 9525000.0 , 9649000.0 , 9460000.0 , 9563000.0 , 2313.84172892 , 1.302% , -0.682% , 0.399%
70 2019-10-18 , 9563000.0 , 9626000.0 , 9350000.0 , 9434000.0 , 2708.5521542 , 0.659% , -2.227% , -1.349%
71 2019-10-19 , 9428000.0 , 9560000.0 , 9360000.0 , 9437000.0 , 1841.45389053 , 1.400% , -0.721% , 0.095%
72 2019-10-20 , 9446000.0 , 9814000.0 , 9373000.0 , 9710000.0 , 2624.45985664 , 3.896% , -0.773% , 2.795%
73 2019-10-21 , 9698000.0 , 9801000.0 , 9610000.0 , 9663000.0 , 2955.21784118 , 1.062% , -0.907% , -0.361%
74 2019-10-22 , 9663000.0 , 9774000.0 , 9451000.0 , 9470000.0 , 2690.5030671 , 1.149% , -2.194% , -1.997%
