코박토큰,CBK, 100%
아하토큰,AHT, 100%
파워렛저,POWR, 95%
톤,TON, 100%
에브리피디아,IQ, 80%
무비블록,MBL, 80%
엠블,MVL, 100%
리퍼리움,RFR, 100%
골렘,GLM, 85%
캐리프로토콜,CRE, 100%
에스티피,STPT, 73%
썬더토큰,TT, 90%
스톰엑스,STMX, 70%
이캐시,XEC, 67%
피르마체인,FCT,100%
모스코인,MOC,100%
메인프레임,MFT, 100%
메디블록,MED,100%
아더,ARDR,95%
아르고,AERGO,95%
알파쿼크,AQT,100%
가스,GAS,75%
스테이터스네트워크토큰,SNT,65%
왁스,WAX,53%
그로스톨코인,GRS,87%
리스크,LSK,62%
스팀,STEEM,85%
시빅,CVC,50%
센티넬프로토콜,UPP,100%
썸씽,SSX,100%
스트라티스,STRAX,85%
엘프,ELF,62%
메타디움,MATA,100%
메탈,MTL,74%
휴먼스케이프,HUM,100%
디카르고,DKA,95%
밀크,MLK,100%
온톨로지가스,ONG,80%
플레이댑,PLA,91%
룸네트워크,LOOM,85%
플로우,FLOW,50%
펀디엑스,PUNDIX,58%
던프로토콜,DAWN,100%
헌트,HUNT,100%
폴리매쓰,POLY,53%
오브스,ORBS,100%
하이브,HIVE,53%
스팀달러,SBD,100%
보라,BORA,100%
