Hot tickers
BTC: 53072000.00  53304000.00 0.44%
ETH: 3899000.00  3934000.00 0.90%
NEO: 27620.00  28030.00 1.48%
MTL: 2090.00  2110.00 0.96%
LTC: 137650.00  137900.00 0.18%
XRP: 937.00  949.00 1.28%
ETC: 47460.00  48690.00 2.59%
OMG: 5890.00  5965.00 1.27%
SNT: 78.80  80.30 1.90%
XEM: 128.00  130.00 1.56%
QTUM: 8535.00  8715.00 2.11%
STEEM: 431.00  442.00 2.55%
XLM: 250.00  252.00 0.80%
ARDR: 265.00  269.00 1.51%
ARK: 1240.00  1250.00 0.81%
STORJ: 1370.00  1375.00 0.36%
GRS: 843.00  848.00 0.59%
REP: 17660.00  17790.00 0.74%
ADA: 1290.00  1310.00 1.55%
SBD: 5580.00  5620.00 0.72%
POWR: 646.00  655.00 1.39%
BTG: 44390.00  44730.00 0.77%
ICX: 1030.00  1045.00 1.46%
EOS: 2990.00  3030.00 1.34%
TRX: 77.80  78.70 1.16%
SC: 13.50  13.90 2.96%
ONT: 679.00  690.00 1.62%
POLY: 525.00  533.00 1.52%
ZRX: 866.00  884.00 2.08%
LOOM: 104.00  108.00 3.85%
BCH: 406500.00  411250.00 1.17%
BAT: 923.00  946.00 2.49%
IOST: 38.70  41.30 6.72%
RFR: 15.00  17.90 19.33%
CVC: 372.00  375.00 0.81%
IQ: 15.10  15.50 2.65%
IOTA: 907.00  920.00 1.43%
MFT: 11.10  11.40 2.70%
GAS: 6220.00  6290.00 1.13%
UPP: 166.00  170.00 2.41%
ELF: 430.00  436.00 1.40%
KNC: 3810.00  3855.00 1.18%
BSV: 108400.00  109000.00 0.55%
THETA: 4060.00  4180.00 2.96%
QKC: 26.30  26.90 2.28%
BTT: 0.00  0.00 4.17%
MOC: 239.00  243.00 1.67%
ENJ: 1865.00  1895.00 1.61%
TFUEL: 215.00  227.00 5.58%
MANA: 2870.00  2900.00 1.05%
ANKR: 95.80  97.10 1.36%
AERGO: 301.00  304.00 1.00%
ATOM: 33180.00  33480.00 0.90%
TT: 13.90  14.10 1.44%
CRE: 11.60  11.90 2.59%
MBL: 12.60  12.90 2.38%
WAXP: 369.00  371.00 0.54%
HBAR: 258.00  262.00 1.55%
MED: 56.10  57.60 2.67%
MLK: 1065.00  1080.00 1.41%
STPT: 117.00  119.00 1.71%
ORBS: 94.60  98.90 4.55%
VET: 81.50  83.40 2.33%
CHZ: 280.00  283.00 1.07%
STMX: 23.60  24.30 2.97%
DKA: 122.00  125.00 2.46%
HIVE: 1160.00  1170.00 0.86%
KAVA: 5250.00  5340.00 1.71%
AHT: 14.80  15.30 3.38%
LINK: 18960.00  18980.00 0.11%
XTZ: 4040.00  4070.00 0.74%
BORA: 1060.00  1080.00 1.89%
JST: 81.40  88.20 8.35%
CRO: 542.00  547.00 0.92%
TON: 5110.00  5135.00 0.49%
SXP: 1655.00  1680.00 1.51%
HUNT: 1095.00  1100.00 0.46%
PLA: 1145.00  1160.00 1.31%
DOT: 24400.00  24620.00 0.90%
SRM: 3120.00  3180.00 1.92%
MVL: 12.80  13.40 4.69%
STRAX: 1350.00  1385.00 2.59%
AQT: 3460.00  3575.00 3.32%
GLM: 559.00  567.00 1.43%
SSX: 61.10  62.20 1.80%
META: 106.00  108.00 1.89%
FCT2: 168.00  174.00 3.57%
CBK: 2875.00  2910.00 1.22%
SAND: 3660.00  3700.00 1.09%
HUM: 378.00  381.00 0.79%
STRK: 49690.00  49860.00 0.34%
PUNDIX: 1095.00  1120.00 2.28%
DAWN: 2230.00  2240.00 0.45%
AXS: 66080.00  66380.00 0.45%
STX: 1540.00  1555.00 0.97%
XEC: 0.12  0.12 3.33%
SOL: 138550.00  140200.00 1.19%
MATIC: 1790.00  1805.00 0.84%
NU: 523.00  531.00 1.53%
AAVE: 235300.00  246650.00 4.82%
1INCH: 1965.00  1990.00 1.27%
ALGO: 965.00  989.00 2.49%
WEMIX: 5340.00  5350.00 0.19%
AVAX: 102000.00  102700.00 0.69%
T: 151.00  153.00 1.32%

Cool tickers
WAVES: 35510.00  35190.00 -0.90%
LSK: 2740.00  2730.00 -0.36%
ZIL: 162.00  152.00 -6.17%
ONG: 936.00  936.00 0.00%
DOGE: 179.00  175.00 -2.23%
NEAR: 18940.00  18870.00 -0.37%
CELO: 4620.00  4555.00 -1.41%
