순위, 종목,시총(단위 억원)
1, 비트코인, 5,756,246
2, 이더리움, 2,579,212
3, 리플, 238,086
4, 에이다, 224,361
5, 솔라나, 186,081
6, 도지코인, 117,985
7, 폴카닷, 104,993
8, 다이, 97,350
9, 폴리곤, 93,010
10, 아발란체, 86,671
11, 트론, 85,338
12, 유니스왑, 79,609
13, 이더리움클래식, 60,809
14, 체인링크, 45,937
15, 크로노스, 44,976
16, 니어프로토콜, 41,290
17, 스텔라루멘, 38,832
18, 코스모스, 38,103
19, 비트코인캐시, 34,137
20, 알고랜드, 30,583
21, 파일코인, 27,953
22, 플로우, 27,163
23, 에이프코인, 26,190
24, 비체인, 25,787
25, 디센트럴랜드, 24,050
26, 샌드박스, 21,797
27, 헤데라, 20,962
28, 테조스, 20,862
29, 엑시인피니티, 18,965
30, 쎄타토큰, 18,771
31, 에이브, 17,444
32, 이오스, 16,132
33, 트루USD, 15,553
34, 비트코인에스브이, 15,029
35, 메이커, 13,471
36, 팍스달러, 12,367
37, 아이오타, 12,048
38, 비트토렌트, 11,800
39, 칠리즈, 11,422
40, 이캐시, 11,268
41, 그래프, 11,063
42, 네오, 10,201
43, 커브, 8,757
44, 웨이브, 8,732
45, 베이직어텐션토큰, 8,030
46, 스택스, 7,888
47, 엔진코인, 7,430
48, 스테픈, 7,370
49, 루프링, 7,248
50, 질리카, 7,216
51, 비트코인골드, 6,613
52, 셀로, 6,348
53, 카바, 6,043
54, 넴, 5,969
55, 1인치네트워크, 5,673
56, 퀀텀, 5,580
57, 컴파운드, 5,459
58, 신세틱스, 5,341
59, 레이븐코인, 5,180
60, 하이브, 4,989
61, 쎄타퓨엘, 4,363
62, 보라, 4,170
63, 아이오텍스, 4,147
64, 오미세고, 4,146
65, 위믹스, 4,041
66, 앵커, 3,984
67, 제로엑스, 3,974
68, 아이콘, 3,956
69, 오디우스, 3,822
70, 저스트, 3,740
71, 아이오에스티, 3,704
72, 이더리움네임서비스, 3,684
73, 카이버네트워크, 3,619
74, 골렘, 3,560
75, 라이브피어, 3,513
76, 세럼, 3,457
77, 스토리지, 3,438
78, 이뮤터블엑스, 3,254
79, 왁스, 3,204
80, 온톨로지, 3,195
81, 시아코인, 3,186
82, 솔라, 2,839
83, 폴리매쓰, 2,805
84, 펀디엑스, 2,539
85, 플레이댑, 2,439
86, 디지바이트, 2,315
87, 렌더토큰, 2,260
88, 휴먼스케이프, 2,135
89, 시빅, 2,111
90, 리스크, 2,110
91, 메디블록, 1,926
92, 엠블, 1,891
93, 온톨로지가스, 1,828
94, 누사이퍼, 1,827
95, 랠리, 1,771
96, 오브스, 1,725
97, 리저브라이트, 1,694
98, 파워렛저, 1,648
99, 오션프로토콜, 1,585
100, 펑션엑스, 1,567
101, 크로미아, 1,520
102, 스테이터스네트워크토큰, 1,516
103, 뱅코르, 1,501
104, 아더, 1,498
105, 에이피아이쓰리, 1,457
106, 뉴메레르, 1,438
107, 덴트, 1,392
108, 스트라티스, 1,375
109, 레이디움, 1,362
110, 스팀, 1,355
111, 카르테시, 1,337
112, 어거, 1,279
113, 엘프, 1,266
114, 메탈, 1,233
115, 일드길드게임즈, 1,228
116, 인젝티브프로토콜, 1,201
117, 바이프로스트, 1,183
118, 스톰엑스, 1,164
119, 크레딧코인, 1,119
120, 오리진프로토콜, 1,098
121, 오키드, 1,077
122, 아이젝, 1,075
123, 에스티피, 1,066
124, 쿼크체인, 1,009
125, 래디클, 1,001
126, 엔케이엔, 998
127, 던프로토콜, 949
128, 썸씽, 935
129, 아크, 933
130, 무비블록, 916
131, 스트라이크, 915
132, 메타디움, 900
133, 에브리피디아, 896
134, 룸네트워크, 876
135, 썬, 872
136, 아르고, 764
137, 썬더코어, 760
138, 헌트, 758
139, 디카르고, 697
140, 알파체인, 665
141, 메인프레임, 636
142, 마스크네트워크, 609
143, 캐리프로토콜, 575
144, 레이, 531
145, 모스코인, 527
146, 깃코인, 527
147, 알파쿼크, 527
148, 리니어파이낸스, 511
149, 코박토큰, 500
150, 스팀달러, 496
151, 센티넬프로토콜, 473
152, 밀크, 464
153, 리퍼리움, 449
154, 피르마체인, 440
155, 어드벤처골드, 421
156, 디스트릭트0x, 413
157, 가스, 403
158, 파리생제르맹, 386
159, 그로스톨코인, 363
160, 아하토큰, 326
161, 마로, 317
162, 다드, 287
163, 솔브케어, 272
164, 바운스토큰, 211
165, 포튜브, 204
166, 베이직, 203
167, 옵저버, 149
168, 퀴즈톡, 146
169, 고체인, 144
170, 밸리디티, 117
171, 유벤투스, 108
172, 톤, 76
